formula,p Band Center,formula composition,formula_obj,formula entropy,A_site_obj,B_site_obj,A_site_Z,A_site_ionization_energy,A_site_eletronegativity,A_site_radius,A_site_lewis_acid_strengths,A_site_g,A_site_p,A_site_mass,A_site_Valence_electron,A_site_Polarization_rate,Tolerance_factor
La0.167Sr0.167Ca0.167Ba0.167Sm0.167Bi0.167Fe1O3,-1.79337151,La0.167Sr0.167Ca0.167Ba0.167Sm0.167Bi0.167FeO3.0,La0.167 Sr0.167 Ca0.167 Ba0.167 Sm0.167 Bi0.167 Fe1 O3,-1.6094379124341005,La0.167Sr0.167Ca0.167Ba0.167Sm0.167Bi0.167,Fe1,52.66666666666667,5.920000000000001,1.2216666666666667,1.336666666666667,0.31383333333333335,2.6666666666666665,5.833333333333333,127.21333333333335,2.8333333333333335,29.816666666666666,0.9462667764533912
La0.200Sr0.200Mg0.200Ca0.200Gd0.200Fe1O3,-2.180711365,La0.2Sr0.2Mg0.2Ca0.2Gd0.2FeO3.0,La0.2 Sr0.2 Mg0.2 Ca0.2 Gd0.2 Fe1 O3,-1.8368555699861953,La0.2Sr0.2Mg0.2Ca0.2Gd0.2,Fe1,38.2,6.2360000000000015,1.19,1.27,0.28040000000000004,2.4,5.4,89.634,2.4,29.120000000000005,0.9232152106445387
La0.167Sr0.167Na0.167Ba0.167Eu0.167Bi0.167Fe1O3,-2.019927076,La0.167Sr0.167Na0.167Ba0.167Eu0.167Bi0.167FeO3.0,La0.167 Sr0.167 Na0.167 Ba0.167 Eu0.167 Bi0.167 Fe1 O3,-1.6094379124341005,La0.167Sr0.167Na0.167Ba0.167Eu0.167Bi0.167,Fe1,51.33333333333334,5.763333333333334,1.2150000000000003,1.3383333333333334,0.2955,2.5,5.666666666666667,124.63166666666666,2.666666666666667,32.86666666666667,0.9468430655986124
La0.167Sr0.167Ca0.167Pr0.167Gd0.167Y0.167Fe1O3,-1.995509465,La0.167Sr0.167Ca0.167Pr0.167Gd0.167Y0.167FeO3.0,La0.167 Sr0.167 Ca0.167 Pr0.167 Gd0.167 Y0.167 Fe1 O3,-1.791759469228055,La0.167Sr0.167Ca0.167Pr0.167Gd0.167Y0.167,Fe1,46.166666666666664,5.87,1.21,1.32,0.30733333333333335,2.6666666666666665,5.833333333333333,108.94666666666667,2.6666666666666665,33.11666666666667,0.940503885001178
La0.167Sr0.167Ca0.167Pr0.167Eu0.167Gd0.167Fe1O3,-1.739392022,La0.167Sr0.167Ca0.167Pr0.167Eu0.167Gd0.167FeO3.0,La0.167 Sr0.167 Ca0.167 Pr0.167 Eu0.167 Gd0.167 Fe1 O3,-1.791759469228055,La0.167Sr0.167Ca0.167Pr0.167Eu0.167Gd0.167,Fe1,50.16666666666667,5.778333333333334,1.2066666666666668,1.3066666666666666,0.3155,2.6666666666666665,5.833333333333333,119.45500000000001,2.6666666666666665,32.9,0.9358935718394076
La0.200Sr0.200Mg0.200Ba0.200Pr0.200Fe1O3,-2.009168357,La0.2Sr0.2Mg0.2Ba0.2Pr0.2FeO3.0,La0.2 Sr0.2 Mg0.2 Ba0.2 Pr0.2 Fe1 O3,-1.8368555699861953,La0.2Sr0.2Mg0.2Ba0.2Pr0.2,Fe1,44.400000000000006,5.920000000000001,1.17,1.352,0.29680000000000006,2.6,5.6000000000000005,105.816,2.4,33.00000000000001,0.9515686365894271
La0.250Sr0.250K0.250Gd0.250Fe1O3,-2.329161183,La0.25Sr0.25K0.25Gd0.25FeO3.0,La0.25 Sr0.25 K0.25 Gd0.25 Fe1 O3,-1.3862943611198906,La0.25Sr0.25K0.25Gd0.25,Fe1,44.5,5.4399999999999995,1.115,1.4049999999999998,0.25375000000000003,2.25,5.75,105.72,2.25,38.85,0.9698946314074648
La0.167Sr0.167Li0.167Mg0.167Pr0.167Gd0.167Fe1O3,-1.787760921,La0.167Sr0.167Li0.167Mg0.167Pr0.167Gd0.167FeO3.0,La0.167 Sr0.167 Li0.167 Mg0.167 Pr0.167 Gd0.167 Fe1 O3,-2.019992658983094,La0.167Sr0.167Li0.167Mg0.167Pr0.167Gd0.167,Fe1,38.333333333333336,5.090000000000001,1.0583333333333333,1.055,0.26,2.1666666666666665,4.666666666666667,91.5,2.1666666666666665,26.366666666666667,0.8488739109109897
La0.167Sr0.167K0.167Ba0.167Sm0.167Bi0.167Fe1O3,-1.758833582,La0.167Sr0.167K0.167Ba0.167Sm0.167Bi0.167FeO3.0,La0.167 Sr0.167 K0.167 Ba0.167 Sm0.167 Bi0.167 Fe1 O3,-1.6094379124341005,La0.167Sr0.167K0.167Ba0.167Sm0.167Bi0.167,Fe1,52.50000000000001,5.625,1.1916666666666667,1.3866666666666667,0.29333333333333333,2.5,5.833333333333333,127.05,2.666666666666667,34.583333333333336,0.9635554508100305
La0.167Sr0.167Ba0.167Pr0.167Eu0.167Gd0.167Fe1O3,-1.793190736,La0.167Sr0.167Ba0.167Pr0.167Eu0.167Gd0.167FeO3.0,La0.167 Sr0.167 Ba0.167 Pr0.167 Eu0.167 Gd0.167 Fe1 O3,-1.791759469228055,La0.167Sr0.167Ba0.167Pr0.167Eu0.167Gd0.167,Fe1,56.16666666666667,5.628333333333334,1.1883333333333335,1.3516666666666668,0.33183333333333337,2.833333333333333,6.0,135.66333333333336,2.6666666666666665,35.483333333333334,0.951453378760383
La0.200Sr0.200Ca0.200Sm0.200Bi0.200Fe1O3,-2.043132597,La0.2Sr0.2Ca0.2Sm0.2Bi0.2FeO3.0,La0.2 Sr0.2 Ca0.2 Sm0.2 Bi0.2 Fe1 O3,-1.3862943611198906,La0.2Sr0.2Ca0.2Sm0.2Bi0.2,Fe1,52.0,6.062000000000001,1.288,1.282,0.31260000000000004,2.6,5.800000000000001,125.19,3.0,27.820000000000004,0.9273644924901322
La0.167Sr0.167Na0.167K0.167Ca0.167Bi0.167Fe1O3,-1.612627483,La0.167Sr0.167Na0.167K0.167Ca0.167Bi0.167FeO3.0,La0.167 Sr0.167 Na0.167 K0.167 Ca0.167 Bi0.167 Fe1 O3,-1.6094379124341005,La0.167Sr0.167Na0.167K0.167Ca0.167Bi0.167,Fe1,38.0,5.691666666666667,1.1700000000000002,1.3666666666666667,0.2331666666666667,2.0,5.333333333333334,89.61333333333333,2.3333333333333335,33.483333333333334,0.9566399810673747
La0.200Sr0.200Na0.200Mg0.200Nd0.200Fe1O3,-2.074156122,La0.2Sr0.2Na0.2Mg0.2Nd0.2FeO3.0,La0.2 Sr0.2 Na0.2 Mg0.2 Nd0.2 Fe1 O3,-1.8368555699861953,La0.2Sr0.2Na0.2Mg0.2Nd0.2,Fe1,35.6,5.918000000000001,1.126,1.298,0.25260000000000005,2.2,5.2,83.614,2.2,33.34,0.9328968682842568
La0.200Sr0.200Mg0.200Ba0.200Sm0.200Fe1O3,-2.146437653,La0.2Sr0.2Mg0.2Ba0.2Sm0.2FeO3.0,La0.2 Sr0.2 Mg0.2 Ba0.2 Sm0.2 Fe1 O3,-1.8368555699861953,La0.2Sr0.2Mg0.2Ba0.2Sm0.2,Fe1,45.0,5.954000000000001,1.124,1.336,0.29500000000000004,2.6,5.6000000000000005,107.706,2.4,32.52,0.9460362607953026
Sr0.500Gd0.500Fe1O3,-3.258679245,Sr0.5Gd0.5FeO3.0,Sr0.5 Gd0.5 Fe1 O3,-0.6931471805599453,Sr0.5Gd0.5,Fe1,51.0,5.92,1.17,1.31,0.29500000000000004,2.5,6.0,122.435,2.5,31.75,0.9370461501298502
